sample	unit	library	flowcell	platform	lane	sample_id	barcode	fq1	fq2	kb1	kb2
25N04575	1	Lane7	2335FYLT4	ILLUMINA	7	25N04575	25N04575_Lane7	fastqs/LOSH_009/L_25N04575_CKDL250033621-1A_2335FYLT4_L7_1.fq.gz	fastqs/LOSH_009/L_25N04575_CKDL250033621-1A_2335FYLT4_L7_2.fq.gz	7995439.343	7844570.438
25N04576	1	Lane4	2332T2LT4	ILLUMINA	4	25N04576	25N04576_Lane4	fastqs/LOSH_011/L_25N04576_CKDL250033623-1A_2332T2LT4_L4_1.fq.gz	fastqs/LOSH_011/L_25N04576_CKDL250033623-1A_2332T2LT4_L4_2.fq.gz	6802534.137	6697906.853
25N04577	1	Lane4	2332T2LT4	ILLUMINA	4	25N04577	25N04577_Lane4	fastqs/LOSH_011/L_25N04577_CKDL250033623-1A_2332T2LT4_L4_1.fq.gz	fastqs/LOSH_011/L_25N04577_CKDL250033623-1A_2332T2LT4_L4_2.fq.gz	5005597.212	4914284.137
25N04579	1	Lane7	2335FYLT4	ILLUMINA	7	25N04579	25N04579_Lane7	fastqs/LOSH_009/L_25N04579_CKDL250033621-1A_2335FYLT4_L7_1.fq.gz	fastqs/LOSH_009/L_25N04579_CKDL250033621-1A_2335FYLT4_L7_2.fq.gz	3820888.837	3766687.969
25N04580	1	Lane7	2335FYLT4	ILLUMINA	7	25N04580	25N04580_Lane7	fastqs/LOSH_009/L_25N04580_CKDL250033621-1A_2335FYLT4_L7_1.fq.gz	fastqs/LOSH_009/L_25N04580_CKDL250033621-1A_2335FYLT4_L7_2.fq.gz	6254745.958	6116818.307
25N04581	1	Lane7	2335FYLT4	ILLUMINA	7	25N04581	25N04581_Lane7	fastqs/LOSH_009/L_25N04581_CKDL250033621-1A_2335FYLT4_L7_1.fq.gz	fastqs/LOSH_009/L_25N04581_CKDL250033621-1A_2335FYLT4_L7_2.fq.gz	4637576.144	4529874.345
25N04582	1	Lane7	2335FYLT4	ILLUMINA	7	25N04582	25N04582_Lane7	fastqs/LOSH_009/L_25N04582_CKDL250033621-1A_2335FYLT4_L7_1.fq.gz	fastqs/LOSH_009/L_25N04582_CKDL250033621-1A_2335FYLT4_L7_2.fq.gz	6063538.508	5943866.427
25N04583	1	Lane4	2332T2LT4	ILLUMINA	4	25N04583	25N04583_Lane4	fastqs/LOSH_011/L_25N04583_CKDL250033623-1A_2332T2LT4_L4_1.fq.gz	fastqs/LOSH_011/L_25N04583_CKDL250033623-1A_2332T2LT4_L4_2.fq.gz	5590768.715	5486481.621
25N04584	1	Lane5	2332T2LT4	ILLUMINA	5	25N04584	25N04584_Lane5	fastqs/LOSH_010/L_25N04584_CKDL250033622-1A_2332T2LT4_L5_1.fq.gz	fastqs/LOSH_010/L_25N04584_CKDL250033622-1A_2332T2LT4_L5_2.fq.gz	2951044.688	2882837.156
25N04586	1	Lane4	2332T2LT4	ILLUMINA	4	25N04586	25N04586_Lane4	fastqs/LOSH_011/L_25N04586_CKDL250033623-1A_2332T2LT4_L4_1.fq.gz	fastqs/LOSH_011/L_25N04586_CKDL250033623-1A_2332T2LT4_L4_2.fq.gz	3713464.161	3613910.162
25N04587	1	Lane4	2332T2LT4	ILLUMINA	4	25N04587	25N04587_Lane4	fastqs/LOSH_011/L_25N04587_CKDL250033623-1A_2332T2LT4_L4_1.fq.gz	fastqs/LOSH_011/L_25N04587_CKDL250033623-1A_2332T2LT4_L4_2.fq.gz	4833067.052	4785467.899
25N04589	1	Lane7	2335FYLT4	ILLUMINA	7	25N04589	25N04589_Lane7	fastqs/LOSH_009/L_25N04589_CKDL250033621-1A_2335FYLT4_L7_1.fq.gz	fastqs/LOSH_009/L_25N04589_CKDL250033621-1A_2335FYLT4_L7_2.fq.gz	5454823.354	5299655.794
25N04590	1	Lane7	2335FYLT4	ILLUMINA	7	25N04590	25N04590_Lane7	fastqs/LOSH_009/L_25N04590_CKDL250033621-1A_2335FYLT4_L7_1.fq.gz	fastqs/LOSH_009/L_25N04590_CKDL250033621-1A_2335FYLT4_L7_2.fq.gz	5959527.166	5805972.395
25N04592	1	Lane4	2332T2LT4	ILLUMINA	4	25N04592	25N04592_Lane4	fastqs/LOSH_011/L_25N04592_CKDL250033623-1A_2332T2LT4_L4_1.fq.gz	fastqs/LOSH_011/L_25N04592_CKDL250033623-1A_2332T2LT4_L4_2.fq.gz	7345802.917	7211668.531
25N04593	1	Lane4	2332T2LT4	ILLUMINA	4	25N04593	25N04593_Lane4	fastqs/LOSH_011/L_25N04593_CKDL250033623-1A_2332T2LT4_L4_1.fq.gz	fastqs/LOSH_011/L_25N04593_CKDL250033623-1A_2332T2LT4_L4_2.fq.gz	6602671.951	6517431.521
